round,accuracy,reward
10,0.6626,-0.1599269964324728
20,0.7874,-0.03683181352010341
30,0.8283,-0.015300170420145243
40,0.8301,-0.01052783963332231
50,0.8448,-0.006356488992858754
60,0.8498,-0.005155337181302898
70,0.8175,-0.004598709880319703
80,0.8535,-0.0034457021027835453
90,0.8367,-0.004091750395401744
100,0.8402,-0.005374705638299006
110,0.7991,-0.003304303475470352
120,0.8352,-0.002031951413996192
130,0.8367,-0.0012770820611746818
140,0.8589,-0.0012671045010370801
150,0.8552,-0.0014815839618469735
160,0.8777,-0.0013983142667114653
170,0.8831,-0.000971075846753873
180,0.8395,-0.0013938594773360254
190,0.8505,-0.0014136312531107308
200,0.8535,-0.002024403721002124
210,0.8548,-0.0009080786078211793
220,0.8694,-0.0009000135195859994
230,0.8622,-0.0008553275214499449
240,0.882,-0.000764777215309008
250,0.8454,-0.0016216361360421212
260,0.8698,-0.0011063784436805015
270,0.8617,-0.0009438643997952305
280,0.8781,-0.001150892839093897
290,0.8467,-0.001890701143534166
300,0.8658,-0.000980516248684354
310,0.8599,-0.000874460084056267
320,0.8748,-0.00089839503468146
330,0.8948,-0.0006478188282118089
340,0.8847,-0.0010457258857330726
350,0.8689,-0.0018415479597027214
360,0.8921,-0.0007397153440687654
370,0.8836,-0.0006608120201339691
380,0.877,-0.001138645411102749
390,0.8028,-0.0013356514584159118
400,0.8565,-0.0008482090627137326
410,0.8864,-0.0006555632494812378
420,0.8983,-0.0005950284468862874
430,0.8659,-0.0006241428447228609
440,0.8437,-0.0010827085911756739
450,0.8897,-0.0006613312554641697
460,0.8744,-0.0008152208071912588
470,0.8846,-0.0004733095710614811
480,0.8948,-0.0008598676696967027
490,0.8899,-0.0010224251035171137
500,0.8934,-0.0006498289765435698
510,0.8389,-0.0009696788885675956
520,0.8909,-0.0004889650171410501
530,0.8696,-0.0007436552895842478
540,0.8567,-0.0009466616563350808
550,0.895,-0.0004982053417426564
560,0.8914,-0.0005251182208922775
570,0.8928,-0.00040899523374053864
580,0.8953,-0.0007599211891912819
590,0.8905,-0.0004639454417958807
600,0.9017,-0.00048591307992803645
610,0.8965,-0.00062232746750885
620,0.894,-0.0005341465179173638
630,0.8244,-0.0007790045964791671
640,0.8868,-0.0006033064321416
650,0.8743,-0.0004063233632868554
660,0.8953,-0.0005649039233213809
670,0.8972,-0.0004214143598417059
680,0.8939,-0.0007081958159041151
690,0.8885,-0.000483523462152664
700,0.8882,-0.00047803782301163877
710,0.8928,-0.0004083127678233637
720,0.9038,-0.00043854155848344317
730,0.8698,-0.0006342254080811921
740,0.8934,-0.00037862147377152016
750,0.901,-0.0004433206470396693
760,0.8827,-0.0004918122560208066
770,0.8874,-0.00044338519110600865
780,0.9024,-0.000650397048579939
790,0.8986,-0.0003397190852655244
800,0.9012,-0.00046333733891272685
810,0.9011,-0.00042794965511259346
820,0.8774,-0.0014639410891237382
830,0.891,-0.0003695495949224281
840,0.8876,-0.0003625662914041245
850,0.9001,-0.000509802474981143
860,0.8967,-0.0003845421737476638
870,0.8979,-0.00041009939858955603
880,0.8855,-0.00043434186353283837
890,0.8984,-0.0005058445574202022
900,0.9008,-0.00031840766337461814
910,0.8919,-0.00031799672181631605
920,0.8994,-0.00042645550605139193
930,0.8722,-0.0005062994277477571
940,0.9027,-0.0003673704499333787
950,0.9038,-0.0017146260703757316
960,0.9083,-0.00034316206308110614
970,0.9056,-0.00030464438083684065
980,0.8916,-0.0004042794652730241
990,0.9018,-0.0003399466204391351
1000,0.8702,-0.0005674562945821962
