round,accuracy
10,0.6824
20,0.7364
30,0.7579
40,0.7885
50,0.7598
60,0.8135
70,0.8055
80,0.8011
90,0.7674
100,0.8177
110,0.8621
120,0.8117
130,0.8048
140,0.8499
150,0.8414
160,0.8686
170,0.8494
180,0.82
190,0.8396
200,0.8664
210,0.8664
220,0.8425
230,0.8729
240,0.8033
250,0.8555
260,0.8556
270,0.8654
280,0.8724
290,0.8243
300,0.8696
310,0.8528
320,0.8666
330,0.8587
340,0.8589
350,0.8585
360,0.8538
370,0.8878
380,0.8895
390,0.8723
400,0.8514
410,0.8883
420,0.8891
430,0.8869
440,0.8723
450,0.8627
460,0.8976
470,0.887
480,0.8668
490,0.8847
500,0.8876
510,0.8955
520,0.888
530,0.8757
540,0.8904
550,0.8508
560,0.8876
570,0.8958
580,0.8704
590,0.8829
600,0.8896
610,0.8703
620,0.8569
630,0.8882
640,0.8861
650,0.8975
660,0.8906
670,0.8815
680,0.8947
690,0.8892
700,0.8925
710,0.8885
720,0.8934
730,0.8739
740,0.8632
750,0.8535
760,0.869
770,0.8703
780,0.8826
790,0.8906
800,0.9036
810,0.9046
820,0.8893
830,0.8825
840,0.8826
850,0.8967
860,0.8991
870,0.8961
880,0.878
890,0.8824
900,0.8826
910,0.9024
920,0.8921
930,0.9027
940,0.9005
950,0.9016
960,0.8996
970,0.9065
980,0.9112
990,0.9043
1000,0.8835
