round,accuracy
10,0.8993
20,0.906
30,0.9095
40,0.91
50,0.9102
60,0.9111
70,0.9106
80,0.9132
90,0.9125
100,0.9131
110,0.9132
120,0.9131
130,0.9146
140,0.9111
150,0.9138
160,0.9143
170,0.9135
180,0.9151
190,0.9159
200,0.9144
210,0.9149
220,0.9153
230,0.916
240,0.9158
250,0.9164
260,0.9172
270,0.9165
280,0.9173
290,0.9167
300,0.9164
310,0.9148
320,0.9162
330,0.919
340,0.9162
350,0.9168
360,0.9167
370,0.9176
380,0.918
390,0.9179
400,0.9153
410,0.9175
420,0.9161
430,0.9171
440,0.917
450,0.9174
460,0.9177
470,0.9169
480,0.9184
490,0.918
500,0.919
510,0.917
520,0.9178
530,0.9186
540,0.9186
550,0.9176
560,0.9186
570,0.9192
580,0.9201
590,0.9188
600,0.9189
610,0.9178
620,0.9192
630,0.9197
640,0.9199
650,0.9185
660,0.9202
670,0.9197
680,0.9205
690,0.92
700,0.9191
710,0.9201
720,0.92
730,0.9204
740,0.9206
750,0.9205
760,0.9202
770,0.9208
780,0.9212
790,0.9211
800,0.9208
810,0.9209
820,0.9213
830,0.9215
840,0.9202
850,0.9213
860,0.9214
870,0.9213
880,0.9211
890,0.9207
900,0.9211
910,0.9213
920,0.9209
930,0.9211
940,0.9208
950,0.9208
960,0.9203
970,0.9205
980,0.9211
990,0.9207
1000,0.9205
