round,accuracy,reward
10,0.8864,-0.10294805238503502
20,0.8971,-0.05791109698050716
30,0.9041,-0.03523366391435697
40,0.9042,-0.019013021653408246
50,0.9059,-0.009896273929786046
60,0.9058,-0.007146330443840136
70,0.9061,-0.004400677870291559
80,0.907,-0.003909173222085279
90,0.9084,-0.003313607780566403
100,0.9086,-0.0017261075020719118
110,0.9089,-0.0016376912160928196
120,0.9102,-0.0014173393049691195
130,0.9094,-0.0015569271748031468
140,0.9087,-0.0024193979248608665
150,0.9116,-0.0011653601920497592
160,0.9093,-0.000998166728306924
170,0.9127,-0.0011451037182225415
180,0.9112,-0.0009072225168499946
190,0.9132,-0.0008416042360616067
200,0.9122,-0.0009287869666289285
210,0.9139,-0.0006452888922588941
220,0.9116,-0.0007834366357456123
230,0.9106,-0.0011975680287807813
240,0.9128,-0.0006171741229045004
250,0.9137,-0.0005036014829357876
260,0.9155,-0.0009268922423622112
270,0.9141,-0.00039173841454175133
280,0.915,-0.0003559345401118253
290,0.9138,-0.0003615996002098345
300,0.9134,-0.00027526306030445597
310,0.9138,-0.0020343638439070657
320,0.9139,-0.0004599372329344972
330,0.9149,-0.00026053913850316516
340,0.9113,-0.00047888932265308825
350,0.9113,-0.00027343383665885256
360,0.9137,-0.00019730729862162051
370,0.9149,-0.0004248112786465279
380,0.9138,-0.00034774942779242687
390,0.9134,-0.0002455490063788303
400,0.9129,-0.0003074646503477787
410,0.9131,-0.0008046481039575563
420,0.9157,-0.0001447076436773661
430,0.9142,-0.00025273051809918687
440,0.916,-0.0002638783205533745
450,0.9152,-0.0001885398599181952
460,0.917,-0.0002970851165130977
470,0.9166,-0.0006740599638980058
480,0.9162,-0.0002209130477593026
490,0.9151,-0.00012173819456373729
500,0.9163,-0.00013964250374782732
510,0.9165,-0.00010676230504087483
520,0.9165,-0.00011343269867555856
530,0.917,-9.957892623446516e-05
540,0.9162,-0.00010844798244287053
550,0.9155,-9.089686415210415e-05
560,0.9173,-9.584261188088936e-05
570,0.9182,-0.00010007703703121991
580,0.918,-9.794461108647188e-05
590,0.9176,-9.409160959597086e-05
600,0.9161,-8.709640087722029e-05
610,0.9163,-7.8686625874903e-05
620,0.9139,-0.000275787769321423
630,0.9174,-7.608482654872817e-05
640,0.9168,-7.030565192410419e-05
650,0.9172,-7.395924735163471e-05
660,0.9171,-6.70675667923361e-05
670,0.9168,-5.808974877584864e-05
680,0.9168,-6.353401672960458e-05
690,0.9183,-5.826203441485548e-05
700,0.9177,-4.972181721430009e-05
710,0.9162,-7.070482513268571e-05
720,0.9186,-6.299957262455305e-05
730,0.9179,-6.628151421326093e-05
740,0.9174,-5.726248890526669e-05
750,0.9172,-5.7506685246063785e-05
760,0.9183,-4.751947603121487e-05
770,0.9176,-4.655468411683554e-05
780,0.9174,-4.270683731963528e-05
790,0.9173,-4.50607788446596e-05
800,0.9175,-3.9673015929749705e-05
810,0.9185,-4.724630811777069e-05
820,0.9187,-3.76795463844298e-05
830,0.9186,-3.6974559249599194e-05
840,0.9176,-3.5660615929635346e-05
850,0.9177,-3.72336738819438e-05
860,0.9179,-3.9708357824127655e-05
870,0.9186,-4.382690676260304e-05
880,0.919,-3.495254020558226e-05
890,0.9179,-3.368806359370197e-05
900,0.9183,-3.1771029944040064e-05
910,0.9182,-3.1637113610595075e-05
920,0.9182,-2.972633405651521e-05
930,0.9184,-3.196853996157204e-05
940,0.9186,-2.8221607205669676e-05
950,0.9182,-2.698550768859377e-05
960,0.9182,-2.7305207832045495e-05
970,0.9185,-2.579770149880709e-05
980,0.9184,-2.5619755045209027e-05
990,0.9183,-2.51928661695841e-05
1000,0.9174,-2.5222179468292983e-05
