round,accuracy,reward
10,0.8937,0.09667000000000009
20,0.8995,0.07275000000000001
30,0.9051,0.09670999999999999
40,0.9032,0.08282000000000006
50,0.9014,0.07774000000000003
60,0.8979,0.07779
70,0.8938,0.07338000000000011
80,0.9011,0.08411
90,0.9004,0.08584000000000003
100,0.8975,0.08024999999999993
110,0.9009,0.08149000000000006
120,0.9051,0.08891000000000007
130,0.9009,0.08269000000000004
140,0.9007,0.07866999999999992
150,0.9007,0.08276999999999991
160,0.9001,0.08041000000000006
170,0.8996,0.07786
180,0.9003,0.08583000000000002
190,0.9014,0.08363999999999994
200,0.904,0.08620000000000003
210,0.9019,0.08259000000000007
220,0.9052,0.08552
230,0.9031,0.08171000000000006
240,0.9049,0.08529000000000003
250,0.9049,0.08429000000000003
260,0.9004,0.08333999999999997
270,0.8989,0.08179000000000002
280,0.8947,0.07527000000000002
290,0.904,0.08020000000000002
300,0.8901,0.06661000000000003
310,0.8996,0.08005999999999998
320,0.9004,0.08233999999999997
330,0.9038,0.08138000000000012
340,0.9033,0.08303000000000003
350,0.8977,0.0769700000000001
360,0.9012,0.08131999999999998
370,0.9032,0.08032
380,0.9028,0.08598000000000004
390,0.8978,0.07568000000000001
400,0.9006,0.07975999999999991
410,0.9032,0.08272000000000007
420,0.9044,0.08504000000000005
430,0.8997,0.07447000000000005
440,0.9075,0.08665
450,0.9014,0.07894000000000001
460,0.9065,0.09024999999999994
470,0.9079,0.08449000000000004
480,0.9034,0.08204000000000003
490,0.8999,0.08099
500,0.9065,0.08345000000000002
510,0.9065,0.08204999999999996
520,0.9077,0.08756999999999991
530,0.9062,0.09972
540,0.9086,0.08425999999999995
550,0.9007,0.08356999999999994
560,0.9058,0.08388000000000008
570,0.8928,0.06908000000000002
580,0.8992,0.08542000000000005
590,0.9061,0.08501000000000007
600,0.9032,0.07951999999999998
610,0.9041,0.07821000000000002
620,0.906,0.08800000000000008
630,0.905,0.08810000000000005
640,0.9086,0.08405999999999997
650,0.8837,0.060970000000000024
660,0.9022,0.08351999999999997
670,0.9044,0.08224000000000002
680,0.9059,0.0856900000000001
690,0.9043,0.09123000000000003
700,0.9087,0.08377000000000001
710,0.9007,0.07456999999999993
720,0.9055,0.08574999999999998
730,0.9067,0.0844699999999999
740,0.9076,0.08405999999999997
750,0.9045,0.08445
760,0.9023,0.07652999999999996
770,0.9087,0.08346999999999993
780,0.9045,0.10874999999999999
790,0.9036,0.07895999999999992
800,0.9071,0.08481
810,0.899,0.07120000000000007
820,0.9085,0.08375
830,0.9083,0.08993
840,0.9058,0.08188000000000008
850,0.9072,0.08901999999999997
860,0.8584,0.033140000000000044
870,0.9053,0.08203000000000005
880,0.897,0.07269999999999999
890,0.8984,0.07433999999999993
900,0.9084,0.08454000000000003
910,0.9068,0.08258000000000001
920,0.9075,0.08194999999999997
930,0.9088,0.08418000000000009
940,0.902,0.08880000000000005
950,0.9036,0.07965999999999995
960,0.9092,0.08882000000000001
970,0.9044,0.09034000000000002
980,0.9071,0.08131000000000005
990,0.9085,0.08404999999999997
1000,0.8767,0.04637000000000001
