round,accuracy
10,0.9266
20,0.97
30,0.9702
40,0.9764
50,0.9452
60,0.9805
70,0.9793
80,0.9794
90,0.9825
100,0.9831
110,0.9834
120,0.9814
130,0.9843
140,0.9837
150,0.9842
160,0.985
170,0.9849
180,0.9848
190,0.9852
200,0.9853
210,0.9861
220,0.9854
230,0.9848
240,0.9872
250,0.9865
260,0.9859
270,0.9856
280,0.9876
290,0.9876
300,0.9888
310,0.9871
320,0.9863
330,0.9881
340,0.9881
350,0.9879
360,0.9887
370,0.9877
380,0.9869
390,0.9883
400,0.9869
410,0.9871
420,0.9886
430,0.9881
440,0.9883
450,0.9883
460,0.9885
470,0.9877
480,0.9883
490,0.9881
500,0.9875
510,0.9879
520,0.9879
530,0.9879
540,0.9882
550,0.9882
560,0.9881
570,0.9885
580,0.9884
590,0.9877
600,0.9883
610,0.9881
620,0.9883
630,0.988
640,0.9882
650,0.9878
660,0.9879
670,0.988
680,0.9878
690,0.9881
700,0.9881
710,0.9882
720,0.9882
730,0.9885
740,0.9888
750,0.9889
760,0.9889
770,0.989
780,0.9885
790,0.9889
800,0.9888
810,0.9888
820,0.989
830,0.9892
840,0.9891
850,0.9889
860,0.9891
870,0.989
880,0.989
890,0.989
900,0.9889
910,0.989
920,0.989
930,0.9893
940,0.9889
950,0.9889
960,0.989
970,0.989
980,0.9889
990,0.9885
1000,0.9887
