round,accuracy,reward
10,0.9139,-0.014896407391065056
20,0.9521,-0.00398753837188086
30,0.9611,-0.0019281005694001825
40,0.9655,-0.0013619670483990547
50,0.9682,-0.0013225962887268928
60,0.9729,-0.0005857094598638466
70,0.9724,-0.00045799048098538533
80,0.9749,-0.0004696333863510391
90,0.9786,-0.0003371030267961261
100,0.9781,-0.0002363981729133152
110,0.9783,-0.00030851335413731627
120,0.978,-0.0002748497478967702
130,0.9775,-0.00022517762766871785
140,0.9816,-0.0001834819500600781
150,0.9799,-0.00016619690500730574
160,0.9797,-0.00015390222421614617
170,0.9833,-0.00017071136564104586
180,0.9819,-0.00017189225547228638
190,0.982,-0.0001359186041662381
200,0.9833,-0.00014627122154158107
210,0.9833,-0.00011188992036994467
220,0.983,-0.00013670184208206657
230,0.984,-0.00011387173405257118
240,0.9827,-0.0001000684087779269
250,0.9817,-0.0002476478029419493
260,0.9844,-0.00013712016262378376
270,0.985,-7.489520046594241e-05
280,0.9849,-7.939326948443993e-05
290,0.9833,-8.527893811955049e-05
300,0.9853,-8.860585568222233e-05
310,0.9848,-8.186571698527417e-05
320,0.9856,-8.258422962978462e-05
330,0.9861,-6.510404388120064e-05
340,0.9843,-6.753718718394437e-05
350,0.9849,-6.0489918187973986e-05
360,0.9862,-5.48516051607618e-05
370,0.9852,-7.421178422413216e-05
380,0.986,-4.5758159540383066e-05
390,0.9854,-7.110429880325314e-05
400,0.9854,-5.0433468166669436e-05
410,0.9855,-9.50677566310829e-05
420,0.9873,-4.741294080705132e-05
430,0.9861,-4.943819499238847e-05
440,0.9861,-4.571707561200898e-05
450,0.9869,-4.965535190565495e-05
460,0.9854,-5.0615714914241124e-05
470,0.9871,-4.773850872021356e-05
480,0.9877,-3.337246810357317e-05
490,0.9876,-3.788813488938623e-05
500,0.9865,-4.61884051832444e-05
510,0.9869,-0.0002514975425809187
520,0.9864,-3.916538700766426e-05
530,0.9872,-3.058478776237957e-05
540,0.9875,-3.2694741109924794e-05
550,0.9877,-3.266738594194576e-05
560,0.9879,-3.23764862079353e-05
570,0.9875,-2.852241063555391e-05
580,0.9877,-3.4820287088653206e-05
590,0.9877,-2.7865661872710785e-05
600,0.9874,-2.623459937870354e-05
610,0.9883,-2.857542967380279e-05
620,0.9876,-2.8396414865219476e-05
630,0.9874,-2.2179556199542788e-05
640,0.987,-2.5695464167463323e-05
650,0.9873,-2.689471994057192e-05
660,0.9882,-3.638251635672355e-05
670,0.9881,-1.9990391037737127e-05
680,0.9881,-2.3913407719331624e-05
690,0.9881,-2.7538705941635003e-05
700,0.9873,-2.6986546605231918e-05
710,0.9884,-2.2034925056300515e-05
720,0.9878,-2.492262226777808e-05
730,0.989,-2.002321230818024e-05
740,0.988,-2.5000453170787548e-05
750,0.9879,-1.8744258595152563e-05
760,0.9885,-2.204371629011639e-05
770,0.9885,-1.661348433760593e-05
780,0.9887,-1.8738821549483807e-05
790,0.989,-1.907406141553475e-05
800,0.9884,-1.9409635131865002e-05
810,0.9884,-1.993586837724671e-05
820,0.9874,-2.1729475481147773e-05
830,0.9886,-2.2046443279254895e-05
840,0.9882,-1.73256728870253e-05
850,0.9886,-1.5559083220176838e-05
860,0.9885,-1.5527855401448312e-05
870,0.9887,-1.4027152616916444e-05
880,0.9882,-1.5582594794235855e-05
890,0.9881,-1.375401320249375e-05
900,0.9883,-1.5612465159231245e-05
910,0.9881,-1.5097431232543968e-05
920,0.9884,-1.254845672841655e-05
930,0.9878,-1.200460341852825e-05
940,0.9886,-1.281042554651269e-05
950,0.9888,-1.3738120934264516e-05
960,0.9886,-1.3072281463829235e-05
970,0.9885,-1.2431130144011438e-05
980,0.9877,-1.3943593651338437e-05
990,0.9888,-1.2818836852262788e-05
1000,0.9886,-1.4665748148875679e-05
