round,accuracy,reward
10,0.8026,0.20090999999999995
20,0.7831,-0.04693999999999994
30,0.8716,0.028110000000000107
40,0.9424,0.07649
50,0.9176,0.08381000000000001
60,0.9626,0.08731000000000003
70,0.963,0.08184999999999996
80,0.9459,0.0704399999999999
90,0.9514,0.36859
100,0.9716,0.09860999999999998
110,0.9475,0.08670000000000003
120,0.9663,0.07848000000000005
130,0.9722,0.08606999999999992
140,0.518,-0.28704999999999997
150,0.9759,0.08483999999999998
160,0.9754,0.0827900000000001
170,0.9708,0.08843
180,0.97,0.07795000000000002
190,0.9747,0.08122000000000006
200,0.9747,0.08232000000000005
210,0.9772,0.09446999999999994
220,0.9774,0.09019000000000009
230,0.96,0.07654999999999995
240,0.9725,0.0806000000000001
250,0.9577,0.06762000000000001
260,0.9309,0.09003999999999993
270,0.9652,0.08567000000000001
280,0.9568,0.06502999999999998
290,0.9679,0.07823999999999996
300,0.9729,0.08624000000000004
310,0.9809,0.09224000000000002
320,0.979,0.08605000000000002
330,0.9835,0.09120000000000004
340,0.9778,0.15182999999999996
350,0.9794,0.08439000000000008
360,0.9733,0.08748
370,0.8442,0.003869999999999915
380,0.9674,0.12829000000000002
390,0.9716,0.08081000000000005
400,0.9779,0.08933999999999996
410,0.9734,0.08099000000000006
420,0.9824,0.08859000000000011
430,0.9785,0.08490000000000003
440,0.9789,0.08553999999999995
450,0.9835,0.0855
460,0.9758,0.07923000000000005
470,0.9783,0.08417999999999998
480,0.9794,0.10009000000000001
490,0.9776,0.08941000000000006
500,0.9816,0.08640999999999999
510,0.9778,0.08193
520,0.9705,0.07540000000000009
530,0.9799,0.08153999999999995
540,0.9743,0.07738000000000003
550,0.981,0.08554999999999997
560,0.9749,0.11713999999999998
570,0.9809,0.08553999999999998
580,0.9812,0.08366999999999997
590,0.9807,0.08912000000000003
600,0.9605,0.0611
610,0.9765,0.08850000000000005
620,0.9834,0.08829000000000004
630,0.976,0.08955000000000002
640,0.9812,0.08706999999999993
650,0.9798,0.09113
660,0.9836,0.08581000000000008
670,0.9803,0.08177999999999992
680,0.9773,0.08037999999999995
690,0.9579,0.06174
700,0.9841,0.08475999999999997
710,0.9837,0.08661999999999999
720,0.9839,0.08983999999999998
730,0.9797,0.08221999999999999
740,0.9842,0.08576999999999997
750,0.8483,-0.05601999999999989
760,0.982,0.08735
770,0.9835,0.08620000000000004
780,0.9638,0.06452999999999998
790,0.9819,0.08853999999999998
800,0.9834,0.08929000000000004
810,0.9853,0.08797999999999997
820,0.9818,0.08272999999999996
830,0.9844,0.08709000000000007
840,0.979,0.08434999999999998
850,0.9819,0.08963999999999997
860,0.9865,0.0880000000000001
870,0.9857,0.08601999999999997
880,0.9849,0.09264000000000001
890,0.9868,0.08753000000000005
900,0.9869,0.09144000000000006
910,0.9855,0.08800000000000008
920,0.9831,0.08456
930,0.9754,0.07639000000000003
940,0.9863,0.0866799999999999
950,0.9868,0.08763000000000004
960,0.9835,0.0836
970,0.9856,0.09161000000000002
980,0.9848,0.08702999999999997
990,0.984,0.08925000000000004
1000,0.9847,0.08722000000000006
