round,accuracy
10,0.8482
20,0.9569
30,0.9692
40,0.9748
50,0.9601
60,0.9771
70,0.9783
80,0.9793
90,0.9827
100,0.9822
110,0.9736
120,0.9776
130,0.9836
140,0.985
150,0.9845
160,0.9809
170,0.9861
180,0.9837
190,0.9862
200,0.9855
210,0.9856
220,0.9848
230,0.9848
240,0.9866
250,0.9847
260,0.9854
270,0.9866
280,0.986
290,0.986
300,0.9867
310,0.9867
320,0.9876
330,0.9881
340,0.9888
350,0.987
360,0.9875
370,0.9876
380,0.986
390,0.9878
400,0.9884
410,0.9881
420,0.9886
430,0.9876
440,0.9884
450,0.9877
460,0.9879
470,0.9879
480,0.9882
490,0.9878
500,0.988
510,0.9881
520,0.9885
530,0.9883
540,0.9881
550,0.9884
560,0.9885
570,0.9887
580,0.9884
590,0.9887
600,0.9882
610,0.989
620,0.9884
630,0.9885
640,0.9884
650,0.9884
660,0.9881
670,0.9883
680,0.9882
690,0.9885
700,0.9884
710,0.9886
720,0.9885
730,0.9888
740,0.9888
750,0.9887
760,0.9881
770,0.9883
780,0.9885
790,0.9887
800,0.9883
810,0.9885
820,0.9881
830,0.9886
840,0.9885
850,0.9887
860,0.9888
870,0.9887
880,0.9889
890,0.9884
900,0.9888
910,0.9885
920,0.9889
930,0.9889
940,0.9887
950,0.9887
960,0.9887
970,0.9889
980,0.989
990,0.9889
1000,0.9885
