round,accuracy
10,0.9817
20,0.9857
30,0.9872
40,0.9873
50,0.9872
60,0.9877
70,0.988
80,0.9876
90,0.9872
100,0.9872
110,0.9881
120,0.9878
130,0.9877
140,0.9876
150,0.9883
160,0.988
170,0.9883
180,0.9876
190,0.9876
200,0.9877
210,0.9878
220,0.9878
230,0.9884
240,0.9881
250,0.9884
260,0.9883
270,0.9879
280,0.9879
290,0.988
300,0.988
310,0.9878
320,0.9882
330,0.9882
340,0.9884
350,0.9879
360,0.9882
370,0.9881
380,0.988
390,0.9879
400,0.9881
410,0.9882
420,0.9881
430,0.9883
440,0.9882
450,0.9881
460,0.988
470,0.9881
480,0.9881
490,0.9881
500,0.9881
510,0.9881
520,0.9881
530,0.9882
540,0.9882
550,0.9882
560,0.9883
570,0.9883
580,0.9883
590,0.9883
600,0.9883
610,0.9883
620,0.9883
630,0.9884
640,0.9883
650,0.9883
660,0.9883
670,0.9884
680,0.9884
690,0.9884
700,0.9884
710,0.9884
720,0.9885
730,0.9884
740,0.9884
750,0.9884
760,0.9884
770,0.9884
780,0.9884
790,0.9886
800,0.9884
810,0.9884
820,0.9884
830,0.9886
840,0.9885
850,0.9886
860,0.9886
870,0.9885
880,0.9886
890,0.9886
900,0.9886
910,0.9886
920,0.9886
930,0.9885
940,0.9885
950,0.9885
960,0.9886
970,0.9886
980,0.9886
990,0.9886
1000,0.9884
