round,accuracy,reward
10,0.9835,-0.012760869785604279
20,0.9874,-0.004631105919047517
30,0.9875,-0.002543964132034669
40,0.9886,-0.001128988771091801
50,0.9889,-0.0007460882441761645
60,0.9891,-0.0005334831288243999
70,0.9889,-0.001166479738293636
80,0.9896,-0.00037608971321972267
90,0.9894,-0.00036707248343925095
100,0.9892,-0.00023728595036234395
110,0.9893,-0.00020017540358213603
120,0.9894,-0.00019191193564349913
130,0.9891,-0.00018935625632142552
140,0.9896,-0.00012407253546078452
150,0.9897,-0.0001452400882452601
160,0.9894,-0.00011054773213256595
170,0.9896,-0.000164178752444624
180,0.9897,-9.396439193111214e-05
190,0.9895,-8.225223206247897e-05
200,0.9895,-7.750767505594836e-05
210,0.9893,-0.00010105978790658386
220,0.9897,-7.281855377501272e-05
230,0.9895,-8.431722137988933e-05
240,0.9895,-6.38526094223805e-05
250,0.9898,-6.369878440431404e-05
260,0.9898,-8.91870201761318e-05
270,0.9899,-5.316177967217277e-05
280,0.9898,-4.535958892608339e-05
290,0.9902,-4.988671723130142e-05
300,0.99,-4.310238441377796e-05
310,0.9899,-4.0915939672073466e-05
320,0.9899,-3.7555554117964975e-05
330,0.99,-3.8610014099799356e-05
340,0.9898,-3.660225098927558e-05
350,0.9898,-3.2242512316868433e-05
360,0.99,-3.0584566345369524e-05
370,0.9899,-2.945398775213255e-05
380,0.9897,-2.847126705457635e-05
390,0.9898,-2.8120836072586565e-05
400,0.9898,-2.7057223176307467e-05
410,0.9899,-2.5382122782516747e-05
420,0.9897,-2.5439431159438317e-05
430,0.9898,-2.401633589624436e-05
440,0.9899,-2.4169253551748914e-05
450,0.99,-2.2460805852932732e-05
460,0.9899,-2.09061196865108e-05
470,0.9897,-2.0654858891995343e-05
480,0.9898,-2.0288610911621014e-05
490,0.9896,-1.9335714955759492e-05
500,0.9897,-2.0939127857568185e-05
510,0.9896,-1.8488827846793415e-05
520,0.9899,-1.815380408572603e-05
530,0.9897,-1.7221352918614512e-05
540,0.9898,-1.686221314563758e-05
550,0.9897,-1.611236827620881e-05
560,0.9898,-1.6297130113958775e-05
570,0.9901,-1.5730816532301063e-05
580,0.9896,-1.5135336368998654e-05
590,0.9898,-1.4893302790114016e-05
600,0.9897,-1.4431637034372892e-05
610,0.9897,-1.4146027298013591e-05
620,0.9899,-1.4820160067296717e-05
630,0.9899,-1.3857825000787368e-05
640,0.9899,-1.3276075324537267e-05
650,0.9899,-1.3494910535032504e-05
660,0.99,-1.2669301778723798e-05
670,0.9898,-1.237558554203482e-05
680,0.9899,-1.2304808431726176e-05
690,0.99,-1.1817865812954311e-05
700,0.99,-1.167009574217112e-05
710,0.9899,-1.1607516412313811e-05
720,0.9901,-1.1050827442879284e-05
730,0.9899,-1.097276543786194e-05
740,0.9899,-1.0758245888430349e-05
750,0.9901,-1.0564639603163846e-05
760,0.99,-1.0545425233174698e-05
770,0.9901,-1.044679152436679e-05
780,0.99,-1.0088813312548405e-05
790,0.9901,-9.812421246890375e-06
800,0.9902,-9.59900412049939e-06
810,0.99,-9.733062562776669e-06
820,0.9901,-9.348014326958286e-06
830,0.9901,-9.071563406871606e-06
840,0.9902,-9.061321565687428e-06
850,0.9901,-8.86057539065743e-06
860,0.9902,-8.66210969991788e-06
870,0.9901,-8.54532597968265e-06
880,0.9902,-8.438990225124967e-06
890,0.9903,-8.299043248264676e-06
900,0.9903,-8.193473888588043e-06
910,0.9903,-8.022692268865854e-06
920,0.9902,-7.909739294861317e-06
930,0.9903,-7.831865489847945e-06
940,0.9903,-7.641739414249847e-06
950,0.9902,-7.624305025541882e-06
960,0.9903,-7.449424335177162e-06
970,0.9903,-7.375011971286362e-06
980,0.9902,-7.240530073147807e-06
990,0.9902,-7.140015466787282e-06
1000,0.9902,-7.098916191639515e-06
