round,accuracy,reward
10,0.985,0.09072999999999998
20,0.9867,0.09020000000000006
30,0.987,0.08943000000000004
40,0.9883,0.08925999999999995
50,0.9889,0.09021999999999997
60,0.9878,0.08941000000000004
70,0.9895,0.08998
80,0.9893,0.08935999999999995
90,0.9884,0.08866999999999992
100,0.99,0.08983000000000002
110,0.9898,0.09011
120,0.9897,0.08980000000000003
130,0.9891,0.08974000000000003
140,0.991,0.09042999999999997
150,0.9901,0.09114
160,0.9903,0.09096000000000001
170,0.9896,0.09009
180,0.9901,0.09033999999999998
190,0.9907,0.09080000000000005
200,0.9905,0.09008000000000001
210,0.9898,0.08981000000000003
220,0.9904,0.09076999999999992
230,0.9899,0.08992000000000001
240,0.9896,0.09079000000000004
250,0.9902,0.09044999999999996
260,0.9902,0.08995000000000002
270,0.9904,0.09007
280,0.9901,0.08953999999999995
290,0.9903,0.09006
300,0.9901,0.09063999999999994
310,0.99,0.09003
320,0.9902,0.09015
330,0.9903,0.09006
340,0.9898,0.08981000000000003
350,0.9902,0.08974999999999993
360,0.9897,0.09090000000000002
370,0.9901,0.08963999999999994
380,0.9899,0.09002
390,0.9899,0.09002
400,0.9901,0.09033999999999998
410,0.9911,0.09023999999999999
420,0.9907,0.09010000000000001
430,0.9909,0.08992000000000003
440,0.9906,0.09009
450,0.9907,0.09010000000000001
460,0.99,0.08983000000000002
470,0.9902,0.09005
480,0.99,0.09003
490,0.9899,0.09002
500,0.9898,0.09001
510,0.9897,0.09019999999999999
520,0.9905,0.08978000000000004
530,0.9905,0.09008000000000001
540,0.9907,0.09010000000000001
550,0.9904,0.09016999999999999
560,0.9905,0.09008000000000001
570,0.9905,0.09008000000000001
580,0.9906,0.09009
590,0.9903,0.09006
600,0.9902,0.09005
610,0.9903,0.09006
620,0.9903,0.09006
630,0.9904,0.09007
640,0.9903,0.09006
650,0.9903,0.09006
660,0.9903,0.09015999999999999
670,0.9903,0.09006
680,0.9902,0.09005
690,0.9902,0.09005
700,0.9902,0.09005
710,0.9902,0.09005
720,0.9901,0.09004000000000001
730,0.9901,0.09004000000000001
740,0.9901,0.09004000000000001
750,0.9901,0.09004000000000001
760,0.9901,0.09004000000000001
770,0.9902,0.09015
780,0.9902,0.09005
790,0.9902,0.09005
800,0.9901,0.09004000000000001
810,0.9898,0.09001
820,0.9902,0.09005
830,0.9902,0.09005
840,0.9904,0.09007
850,0.9904,0.09007
860,0.9904,0.09007
870,0.9903,0.09006
880,0.9902,0.09005
890,0.99,0.09003
900,0.9899,0.08992000000000001
910,0.9899,0.09002
920,0.99,0.09003
930,0.9901,0.09004000000000001
940,0.9901,0.08994000000000002
950,0.99,0.09003
960,0.9894,0.08997
970,0.9896,0.08999000000000001
980,0.9895,0.08998
990,0.9895,0.08998
1000,0.9895,0.08998
