round,accuracy,reward
5,0.8266,-0.48096191835668334
10,0.8665,-0.3368657894891169
15,0.8799,-0.27690207350932877
20,0.8866,-0.23344451439637268
25,0.8943,-0.2075248959589335
30,0.8982,-0.18032724525212418
35,0.9018,-0.16426813367783194
40,0.9042,-0.1476771327291719
45,0.9067,-0.13736016115732488
50,0.9086,-0.1273334722811149
55,0.91,-0.1179042756027102
60,0.911,-0.10899543500735108
65,0.9117,-0.10097493541910206
70,0.9133,-0.09391571009632507
75,0.9133,-0.0878971281781999
80,0.9142,-0.08098115648443088
85,0.915,-0.07749830765488441
90,0.9155,-0.07250816614251686
95,0.9169,-0.06887833354898416
100,0.9163,-0.06419068128147887
