round,accuracy,reward
5,0.8519,0.10468999999999996
10,0.8764,0.0895399999999999
15,0.8853,0.09092999999999996
20,0.8904,0.09033999999999998
25,0.8927,0.09017000000000003
30,0.8968,0.09048000000000003
35,0.8982,0.09052000000000004
40,0.8982,0.08931999999999995
45,0.8998,0.08928000000000008
50,0.8992,0.08931999999999995
55,0.8989,0.08899
60,0.8998,0.09188000000000002
65,0.8975,0.08904999999999996
70,0.891,0.09570000000000006
75,0.8754,0.11584
80,0.8923,0.08972999999999995
85,0.8923,0.09042999999999998
90,0.8879,0.08669000000000002
95,0.8859,0.09959000000000001
100,0.1,0.010000000000000002
