round,accuracy,reward
5,0.8211,-0.34987864312706535
10,0.8583,-0.2636958491790976
15,0.875,-0.21925842640777593
20,0.8831,-0.19409549504390639
25,0.8872,-0.17054913654144127
30,0.8932,-0.1559683951914162
35,0.8968,-0.14295978084016808
40,0.9002,-0.13267133332645828
45,0.9037,-0.1244282175069404
50,0.905,-0.11415290698253194
55,0.9062,-0.1054951594399711
60,0.9077,-0.09855897081387796
65,0.9093,-0.09461242454198082
70,0.911,-0.08768013241635135
75,0.9114,-0.08273285169500227
80,0.9131,-0.07899492882947436
85,0.913,-0.07158717897964126
90,0.913,-0.06719827696004285
95,0.9129,-0.06646503515762109
100,0.9157,-0.06217880457027727
