round,accuracy,reward
5,0.8566,0.11786000000000002
10,0.8806,0.09116000000000012
15,0.8899,0.09109
20,0.8902,0.08862000000000005
25,0.8938,0.08948
30,0.8966,0.09135999999999993
35,0.8987,0.09287000000000001
40,0.8995,0.08995
45,0.8991,0.09030999999999996
50,0.8994,0.08823999999999997
55,0.8999,0.0891900000000001
60,0.8985,0.09004999999999998
65,0.8986,0.0887599999999999
70,0.8892,0.11621999999999999
75,0.8988,0.09488000000000002
80,0.895,0.08779999999999998
85,0.8725,0.06655000000000007
90,0.8892,0.08492
95,0.8905,0.09264999999999994
100,0.8923,0.09172999999999995
