round,accuracy,reward
5,0.5635,-0.12578668726808695
10,0.6175,-0.09783818063621469
15,0.6841,-0.08825863054119037
20,0.6917,-0.0784283792393908
25,0.7021,-0.07588526641348613
30,0.7865,-0.06118647062011466
35,0.7775,-0.059264569047913974
40,0.8039,-0.05667798084384528
45,0.7973,-0.054060859492068264
50,0.8204,-0.04967339246712739
55,0.807,-0.05001252598502293
60,0.8099,-0.0459225527206201
65,0.8223,-0.04484896989696022
70,0.8304,-0.04277706692631839
75,0.8506,-0.040235110514209076
80,0.8343,-0.039521071247498145
85,0.8246,-0.038054268704368746
90,0.848,-0.03584212038883311
95,0.8319,-0.036895757783444276
100,0.868,-0.03325886779432156
