round,accuracy,reward
5,0.7177,0.38587
10,0.7516,0.06036000000000008
15,0.7774,0.15363999999999997
20,0.7587,0.07537000000000006
25,0.7987,0.11066999999999994
30,0.8377,0.08587
35,0.8119,0.04918999999999997
40,0.838,0.10219999999999997
45,0.8322,0.07952000000000009
50,0.8231,0.08331000000000001
55,0.8457,0.061870000000000064
60,0.8521,0.08211000000000002
65,0.858,0.0878
70,0.8519,0.10229
75,0.8289,0.05688999999999998
80,0.8617,0.10867000000000009
85,0.864,0.08349999999999999
90,0.8653,0.07802999999999993
95,0.8602,0.11041999999999998
100,0.8584,0.11314000000000012
