round,accuracy,reward
5,0.9542,-0.15736954530282973
10,0.9732,-0.06723982579762165
15,0.9793,-0.041863026029513105
20,0.9831,-0.03213208773213751
25,0.9851,-0.0266921443398337
30,0.9864,-0.022800023374035173
35,0.9871,-0.01992521988674449
40,0.9875,-0.017186977468526887
45,0.9877,-0.0160438838689968
50,0.9882,-0.01395276504422994
55,0.9884,-0.012976166971923931
60,0.9887,-0.011459265896188701
65,0.9888,-0.010274759847194621
70,0.9892,-0.00946198894001128
75,0.9894,-0.008592725761190136
80,0.9895,-0.00776964446605006
85,0.9898,-0.007542699112483992
90,0.9899,-0.006259935283088996
95,0.99,-0.006152928171784177
100,0.9903,-0.006069025686261323
