round,accuracy,reward
5,0.9693,0.10073000000000004
10,0.9768,0.09918000000000006
15,0.9813,0.09942999999999996
20,0.9842,0.09881999999999996
25,0.9856,0.09956000000000001
30,0.9866,0.09896000000000009
35,0.9862,0.09791999999999997
40,0.9872,0.09862000000000001
45,0.9876,0.09895999999999999
50,0.9878,0.09897999999999998
55,0.988,0.09909999999999997
60,0.9885,0.09865000000000003
65,0.9887,0.09847000000000006
70,0.9893,0.09883000000000002
75,0.9891,0.09900999999999999
80,0.9896,0.0991600000000001
85,0.99,0.09929999999999997
90,0.9899,0.09849000000000006
95,0.99,0.09860000000000005
100,0.99,0.09839999999999996
