round,accuracy,reward
5,0.9565,-0.09864651849702072
10,0.9719,-0.05041539578356346
15,0.978,-0.039249845448468886
20,0.9808,-0.0290606816490206
25,0.9822,-0.026634872806537847
30,0.9843,-0.02213089738786437
35,0.985,-0.019579429618151126
40,0.9857,-0.017988640860533964
45,0.9866,-0.016794057173302304
50,0.9875,-0.01421673631279999
55,0.9878,-0.01353126954544841
60,0.9886,-0.012630310027953133
65,0.9887,-0.011217410460143596
70,0.989,-0.010787191372065429
75,0.9887,-0.010017440384658034
80,0.9892,-0.009941144092072212
85,0.989,-0.008120950668179978
90,0.989,-0.00879517484283344
95,0.989,-0.008122612573266914
100,0.9892,-0.0064786398875457075
