round,accuracy,reward
5,0.9686,0.10215999999999997
10,0.9799,0.09948999999999995
15,0.9824,0.09904000000000003
20,0.9848,0.09928000000000003
25,0.986,0.0987
30,0.9861,0.09900999999999996
35,0.9867,0.09896999999999997
40,0.9874,0.09884000000000011
45,0.987,0.09819999999999995
50,0.9871,0.09851000000000003
55,0.9873,0.09873
60,0.9877,0.09877000000000001
65,0.9877,0.09867000000000002
70,0.9881,0.09861000000000003
75,0.9881,0.09851000000000004
80,0.9887,0.09877000000000002
85,0.9888,0.09928000000000008
90,0.9886,0.09936000000000006
95,0.9894,0.09943999999999995
100,0.9888,0.09868000000000003
