round,accuracy,reward
5,0.6559,-0.09534785617799937
10,0.8853,-0.042160199026036994
15,0.9522,-0.030031453126932766
20,0.966,-0.022073017714718094
25,0.9707,-0.01782388597697238
30,0.9746,-0.016466902605361083
35,0.978,-0.013564084373457458
40,0.9795,-0.013397142729563317
45,0.9818,-0.011327150908109653
50,0.9824,-0.010676789408328993
55,0.9835,-0.009838450555143957
60,0.9843,-0.008991041006939145
65,0.985,-0.008842121238005462
70,0.9852,-0.008404179292303889
75,0.986,-0.008707119046365923
80,0.9855,-0.007755595560225616
85,0.9854,-0.006908311079860076
90,0.9861,-0.006851000710724262
95,0.9864,-0.006489083528291718
100,0.9862,-0.005818952593583474
