round,accuracy,reward
5,0.8556,0.28726
10,0.9431,0.10271000000000008
15,0.9683,0.10933000000000008
20,0.9687,0.09567000000000003
25,0.9718,0.09718
30,0.9751,0.09851
35,0.9781,0.09800999999999999
40,0.9781,0.09800999999999999
45,0.9787,0.09677000000000002
50,0.9802,0.09871999999999992
55,0.9807,0.09836999999999997
60,0.9813,0.0980299999999999
65,0.9814,0.09904000000000002
70,0.9821,0.09750999999999997
75,0.9831,0.09831000000000001
80,0.9833,0.09833
85,0.9837,0.09866999999999998
90,0.985,0.09909999999999994
95,0.9838,0.09788000000000006
100,0.9851,0.09800999999999994
