round,accuracy,client_reward,server_reward,pre_losses,post_losses
1,0.907200,2.248135,0.810600,"2.325921,2.266180,2.280226,2.309050,2.337600,2.284323,2.360859,2.329395,2.305232,2.310627","0.006718,0.025254,0.029169,0.290974,0.034316,0.031909,0.039570,0.027797,0.071313,0.064096"
2,0.969700,1.314301,0.062500,"1.364741,1.409001,1.458768,1.252777,1.205788,1.328058,1.085101,1.320383,1.333548,1.568160","0.008159,0.006537,0.026806,0.029316,0.004813,0.011786,0.028205,0.013481,0.005533,0.032691"
3,0.983100,0.116296,0.013400,"0.144015,0.046099,0.209953,0.086219,0.075866,0.170555,0.082699,0.190081,0.195676,0.072698","0.016484,0.000562,0.018317,0.000525,0.001567,0.022050,0.019691,0.001910,0.007715,0.018919"
4,0.981400,0.043471,-0.001700,"0.053628,0.021681,0.083654,0.036835,0.035082,0.059926,0.054722,0.063279,0.061139,0.058351","0.011215,0.008333,0.013182,0.008126,0.000287,0.015248,0.000651,0.014746,0.006285,0.015290"
5,0.985200,0.057100,0.003800,"0.075616,0.010099,0.101284,0.045844,0.037683,0.086584,0.042981,0.082055,0.096322,0.059206","0.009412,0.002643,0.000619,0.000272,0.007006,0.014687,0.013279,0.012308,0.000253,0.005395"
6,0.988700,0.053346,0.003500,"0.071508,0.005726,0.102778,0.039202,0.036828,0.085890,0.036946,0.080786,0.083180,0.051896","0.008406,0.000411,0.002767,0.001285,0.002363,0.014273,0.007422,0.017514,0.005470,0.000691"
7,0.989500,0.034924,0.000800,"0.052579,0.010683,0.039621,0.034072,0.023602,0.049486,0.028571,0.037840,0.049702,0.052505","0.007633,0.000534,0.004739,0.000141,0.000072,0.001504,0.000155,0.006707,0.000131,0.007670"
8,0.990100,0.026530,0.000600,"0.045616,0.010828,0.024801,0.032483,0.021818,0.040028,0.026974,0.027928,0.033585,0.056091","0.006694,0.000026,0.002016,0.007550,0.000923,0.007800,0.005291,0.010295,0.000072,0.014096"
9,0.990400,0.028139,0.000300,"0.038135,0.013015,0.026228,0.029034,0.019118,0.043801,0.029503,0.026668,0.042987,0.046658","0.000098,0.011409,0.000026,0.003994,0.002656,0.000234,0.001698,0.002748,0.010332,0.000404"
10,0.990000,0.027795,-0.000400,"0.043309,0.006546,0.030579,0.035579,0.023559,0.046859,0.021554,0.027273,0.045924,0.043193","0.003897,0.013242,0.001802,0.004457,0.002859,0.007364,0.003628,0.003315,0.000826,0.004836"
11,0.990400,0.029207,0.000400,"0.041756,0.002084,0.036518,0.031380,0.023002,0.045460,0.022246,0.034702,0.042188,0.041849","0.003971,0.003419,0.002231,0.000106,0.000116,0.012295,0.000085,0.003724,0.000000,0.003029"
12,0.990400,0.033198,0.000000,"0.044045,0.002260,0.046238,0.036052,0.026058,0.042558,0.023500,0.040080,0.046141,0.034539","0.000143,0.000068,0.001106,0.000035,0.002671,0.000128,0.000077,0.000224,0.001075,0.003790"
13,0.990300,0.022525,-0.000100,"0.034021,0.003135,0.020398,0.024874,0.023083,0.032823,0.019949,0.024839,0.029881,0.040915","0.000954,0.000084,0.000018,0.000063,0.002143,0.015610,0.006056,0.000130,0.000050,0.003465"
14,0.990200,0.021296,-0.000100,"0.025569,0.004507,0.020037,0.023486,0.021311,0.031786,0.014343,0.023446,0.028240,0.038613","0.001975,0.000100,0.000010,0.002307,0.000049,0.002955,0.004797,0.001811,0.000881,0.003423"
15,0.991100,0.020739,0.000900,"0.033219,0.005730,0.012084,0.026501,0.021818,0.028944,0.010513,0.018082,0.027311,0.039719","0.002165,0.002614,0.000452,0.000082,0.000036,0.000302,0.000799,0.003852,0.000856,0.005274"
16,0.990500,0.019805,-0.000600,"0.028752,0.001499,0.021532,0.026598,0.021317,0.027259,0.012011,0.026091,0.034405,0.035725","0.004873,0.009622,0.000654,0.010659,0.000796,0.004745,0.001016,0.002318,0.000000,0.002323"
17,0.991000,0.023378,0.000500,"0.028622,0.000753,0.035063,0.024671,0.019486,0.033245,0.018934,0.032702,0.045270,0.035011","0.000048,0.000968,0.000939,0.005387,0.001256,0.012299,0.003601,0.003075,0.000037,0.012239"
18,0.990200,0.020340,-0.000800,"0.027387,0.001336,0.034504,0.024590,0.024598,0.029350,0.011563,0.032658,0.039279,0.024916","0.001076,0.000028,0.038897,0.002232,0.001257,0.002173,0.000718,0.000147,0.000044,0.000043"
19,0.991300,0.021107,0.001100,"0.025381,0.001444,0.021487,0.018098,0.021588,0.026988,0.014179,0.028415,0.032764,0.026397","0.001086,0.000000,0.000800,0.000758,0.001826,0.000078,0.000022,0.000094,0.000033,0.000899"
20,0.990900,0.016515,-0.000400,"0.028223,0.000748,0.017423,0.020438,0.016152,0.024421,0.011064,0.021373,0.026817,0.026577","0.009055,0.000027,0.006702,0.000690,0.002896,0.001697,0.000010,0.002244,0.004668,0.000050"
21,0.992000,0.017776,0.001100,"0.025738,0.003076,0.013892,0.019031,0.014925,0.028399,0.009876,0.025306,0.021593,0.029861","0.000021,0.000001,0.000005,0.000940,0.000016,0.003784,0.008098,0.000098,0.000018,0.000874"
22,0.991400,0.016707,-0.000600,"0.024804,0.001554,0.012078,0.021102,0.013132,0.020602,0.006361,0.022536,0.026249,0.027748","0.000623,0.001233,0.001798,0.000930,0.000008,0.000819,0.000006,0.002551,0.000237,0.000815"
23,0.991100,0.019683,-0.000300,"0.033432,0.001042,0.012060,0.021286,0.013578,0.022425,0.006608,0.025507,0.036890,0.029497","0.001461,0.000579,0.000102,0.000971,0.000076,0.000958,0.000004,0.000083,0.000299,0.000839"
24,0.991600,0.016214,0.000500,"0.021874,0.000415,0.019147,0.022150,0.013252,0.028049,0.007971,0.029748,0.036195,0.027904","0.000528,0.000000,0.000005,0.040975,0.001452,0.000062,0.000004,0.000078,0.000004,0.001214"
