round,accuracy,reward
10,0.4618,0.1255
20,0.3055,-0.08603000000000001
30,0.1,-0.0017799999999999997
40,0.1,-0.0017799999999999997
50,0.1,-0.0017799999999999997
60,0.1,-0.0017799999999999997
70,0.1,-0.0017799999999999997
80,0.1,-0.0017799999999999997
90,0.1,-0.0017799999999999997
100,0.1,-0.0017799999999999997
110,0.1,-0.0017799999999999997
120,0.1,-0.0017799999999999997
130,0.1,-0.0017799999999999997
140,0.1,-0.0017799999999999997
150,0.1,-0.0017799999999999997
160,0.1,-0.0017799999999999997
170,0.1,-0.0017799999999999997
180,0.1,-0.0017799999999999997
190,0.1,-0.0017799999999999997
200,0.1,-0.0017799999999999997
210,0.1,-0.0017799999999999997
220,0.1,-0.0017799999999999997
230,0.1,-0.0017799999999999997
240,0.1,-0.0017799999999999997
250,0.1,-0.0017799999999999997
260,0.1,-0.0017799999999999997
270,0.1,-0.0017799999999999997
280,0.1,-0.0017799999999999997
290,0.1,-0.0017799999999999997
300,0.1,-0.0017799999999999997
310,0.1,-0.0017799999999999997
320,0.1,-0.0017799999999999997
330,0.1,-0.0017799999999999997
340,0.1,-0.0017799999999999997
350,0.1,-0.0017799999999999997
360,0.1,-0.0017799999999999997
370,0.1,-0.0017799999999999997
380,0.1,-0.0017799999999999997
390,0.1,-0.0017799999999999997
400,0.1,-0.0017799999999999997
410,0.1,-0.0017799999999999997
420,0.1,-0.0017799999999999997
430,0.1,-0.0017799999999999997
440,0.1,-0.0017799999999999997
450,0.1,-0.0017799999999999997
460,0.1,-0.0017799999999999997
470,0.1,-0.0017799999999999997
480,0.1,-0.0017799999999999997
490,0.1,-0.0017799999999999997
500,0.1,-0.0017799999999999997
510,0.1,-0.0017799999999999997
520,0.1,-0.0017799999999999997
530,0.1,-0.0017799999999999997
540,0.1,-0.0017799999999999997
550,0.1,-0.0017799999999999997
560,0.1,-0.0017799999999999997
570,0.1,-0.0017799999999999997
580,0.1,-0.0017799999999999997
590,0.1,-0.0017799999999999997
600,0.1,-0.0017799999999999997
610,0.1,-0.0017799999999999997
620,0.1,-0.0017799999999999997
630,0.1,-0.0017799999999999997
640,0.1,-0.0017799999999999997
650,0.1,-0.0017799999999999997
660,0.1,-0.0017799999999999997
670,0.1,-0.0017799999999999997
680,0.1,-0.0017799999999999997
690,0.1,-0.0017799999999999997
700,0.1,-0.0017799999999999997
710,0.1,-0.0017799999999999997
720,0.1,-0.0017799999999999997
730,0.1,-0.0017799999999999997
740,0.1,-0.0017799999999999997
750,0.1,-0.0017799999999999997
760,0.1,-0.0017799999999999997
770,0.1,-0.0017799999999999997
780,0.1,-0.0017799999999999997
790,0.1,-0.0017799999999999997
800,0.1,-0.0017799999999999997
810,0.1,-0.0017799999999999997
820,0.1,-0.0017799999999999997
830,0.1,-0.0017799999999999997
840,0.1,-0.0017799999999999997
850,0.1,-0.0017799999999999997
860,0.1,-0.0017799999999999997
870,0.1,-0.0017799999999999997
880,0.1,-0.0017799999999999997
890,0.1,-0.0017799999999999997
900,0.1,-0.0017799999999999997
910,0.1,-0.0017799999999999997
920,0.1,-0.0017799999999999997
930,0.1,-0.0017799999999999997
940,0.1,-0.0017799999999999997
950,0.1,-0.0017799999999999997
960,0.1,-0.0017799999999999997
970,0.1,-0.0017799999999999997
980,0.1,-0.0017799999999999997
990,0.1,-0.0017799999999999997
1000,0.1,-0.0017799999999999997
