round,accuracy,reward
10,0.7957,0.08045
20,0.8155,0.13393
30,0.9409,0.08067000000000002
40,0.9154,0.07651999999999998
50,0.9283,0.07431000000000003
60,0.9608,0.11135999999999996
70,0.9277,0.07335000000000001
80,0.928,0.06308000000000004
90,0.7063,0.10831000000000005
100,0.9724,0.09762000000000005
110,0.9389,0.06016999999999992
120,0.8693,0.03490999999999994
130,0.9317,0.053349999999999925
140,0.9748,0.08945999999999998
150,0.9523,0.07921000000000009
160,0.9502,0.08710000000000008
170,0.905,0.09408000000000004
180,0.977,0.09567999999999999
190,0.9713,0.07941000000000005
200,0.9112,0.17820000000000005
210,0.9766,0.08794000000000006
220,0.9756,0.10244
230,0.9798,0.08795999999999998
240,0.9676,0.09134000000000003
250,0.9636,0.07654000000000005
260,0.9791,0.10349000000000003
270,0.7665,0.028229999999999977
280,0.971,0.08358000000000003
290,0.9809,0.09216999999999997
300,0.9717,0.08745000000000006
310,0.9729,0.08287000000000001
320,0.9736,0.10194000000000003
330,0.9651,0.06948999999999995
340,0.9754,0.0956200000000001
350,0.9701,0.07878999999999999
360,0.9511,0.07188999999999998
370,0.9425,0.13372999999999996
380,0.9645,0.08432999999999999
390,0.9794,0.08402000000000008
400,0.9773,0.09260999999999998
410,0.9708,0.10996
420,0.098,-0.0005199999999999996
430,0.098,-0.0005199999999999996
440,0.098,-0.0005199999999999996
450,0.098,-0.0005199999999999996
460,0.098,-0.0005199999999999996
470,0.098,-0.0005199999999999996
480,0.098,-0.0005199999999999996
490,0.098,-0.0005199999999999996
500,0.098,-0.0005199999999999996
510,0.098,-0.0005199999999999996
520,0.098,-0.0005199999999999996
530,0.098,-0.0005199999999999996
540,0.098,-0.0005199999999999996
550,0.098,-0.0005199999999999996
560,0.098,-0.0005199999999999996
570,0.098,-0.0005199999999999996
580,0.098,-0.0005199999999999996
590,0.098,-0.0005199999999999996
600,0.098,-0.0005199999999999996
610,0.098,-0.0005199999999999996
620,0.098,-0.0005199999999999996
630,0.098,-0.0005199999999999996
640,0.098,-0.0005199999999999996
650,0.098,-0.0005199999999999996
660,0.098,-0.0005199999999999996
670,0.098,-0.0005199999999999996
680,0.098,-0.0005199999999999996
690,0.098,-0.0005199999999999996
700,0.098,-0.0005199999999999996
710,0.098,-0.0005199999999999996
720,0.098,-0.0005199999999999996
730,0.098,-0.0005199999999999996
740,0.098,-0.0005199999999999996
750,0.098,-0.0005199999999999996
760,0.098,-0.0005199999999999996
770,0.098,-0.0005199999999999996
780,0.098,-0.0005199999999999996
790,0.098,-0.0005199999999999996
800,0.098,-0.0005199999999999996
810,0.098,-0.0005199999999999996
820,0.098,-0.0005199999999999996
830,0.098,-0.0005199999999999996
840,0.098,-0.0005199999999999996
850,0.098,-0.0005199999999999996
860,0.098,-0.0005199999999999996
870,0.098,-0.0005199999999999996
880,0.098,-0.0005199999999999996
890,0.098,-0.0005199999999999996
900,0.098,-0.0005199999999999996
910,0.098,-0.0005199999999999996
920,0.098,-0.0005199999999999996
930,0.098,-0.0005199999999999996
940,0.098,-0.0005199999999999996
950,0.098,-0.0005199999999999996
960,0.098,-0.0005199999999999996
970,0.098,-0.0005199999999999996
980,0.098,-0.0005199999999999996
990,0.098,-0.0005199999999999996
1000,0.098,-0.0005199999999999996
