round,accuracy,reward
10,0.9823,0.10057999999999995
20,0.9862,0.09276999999999996
30,0.9871,0.09305999999999993
40,0.9885,0.0947
50,0.988,0.09284999999999997
60,0.9886,0.09231000000000004
70,0.9891,0.09405999999999996
80,0.9888,0.09343000000000003
90,0.9885,0.09360000000000002
100,0.9887,0.09442000000000003
110,0.9895,0.09400000000000008
120,0.989,0.09514999999999996
130,0.9904,0.09418999999999995
140,0.9887,0.09342000000000003
150,0.9894,0.09388999999999997
160,0.9878,0.09362999999999999
170,0.9893,0.09317999999999994
180,0.9905,0.09370000000000002
190,0.9899,0.09383999999999999
200,0.9901,0.09395999999999999
210,0.9901,0.09356000000000003
220,0.99,0.09375
230,0.9902,0.09387
240,0.9903,0.09387999999999999
250,0.9903,0.09357999999999991
260,0.9903,0.09378
270,0.9907,0.09382000000000001
280,0.9909,0.09523999999999996
290,0.9902,0.09387
300,0.9901,0.09376000000000001
310,0.9901,0.09366000000000002
320,0.9902,0.09387
330,0.9902,0.09357000000000003
340,0.9906,0.0940100000000001
350,0.9905,0.09380000000000001
360,0.9904,0.0936899999999999
370,0.9904,0.09379
380,0.99,0.09424999999999994
390,0.9903,0.09378
400,0.9905,0.09380000000000001
410,0.9904,0.09379
420,0.9904,0.09379
430,0.9906,0.09381
440,0.9908,0.09383000000000001
450,0.9912,0.09387000000000001
460,0.9911,0.09386
470,0.9908,0.09383000000000001
480,0.9907,0.09382000000000001
490,0.9905,0.09380000000000001
500,0.9904,0.09379
510,0.9907,0.09382000000000001
520,0.9908,0.09383000000000001
530,0.9908,0.09383000000000001
540,0.9909,0.09384
550,0.9909,0.09384
560,0.9908,0.09373000000000002
570,0.9893,0.09358000000000001
580,0.9899,0.09454000000000003
590,0.9898,0.09363000000000002
600,0.9899,0.09374
610,0.9899,0.09374
620,0.9897,0.09372000000000001
630,0.9897,0.09372000000000001
640,0.9898,0.09373000000000001
650,0.9898,0.09373000000000001
660,0.9898,0.09373000000000001
670,0.9898,0.09373000000000001
680,0.9897,0.09372000000000001
690,0.9897,0.09372000000000001
700,0.9897,0.09372000000000001
710,0.9897,0.09372000000000001
720,0.9897,0.09372000000000001
730,0.9897,0.09372000000000001
740,0.9897,0.09372000000000001
750,0.9896,0.09371000000000002
760,0.9896,0.09371000000000002
770,0.9897,0.09372000000000001
780,0.9899,0.09374
790,0.9899,0.09374
800,0.9899,0.09374
810,0.9898,0.09363000000000002
820,0.9898,0.09373000000000001
830,0.9898,0.09373000000000001
840,0.9897,0.09372000000000001
850,0.9897,0.09372000000000001
860,0.9898,0.09373000000000001
870,0.9898,0.09363000000000002
880,0.99,0.09375
890,0.9897,0.09372000000000001
900,0.9899,0.09374
910,0.9893,0.09387999999999998
920,0.9895,0.0937
930,0.9894,0.0935899999999999
940,0.9891,0.09246000000000003
950,0.9896,0.09271000000000001
960,0.9903,0.09378
970,0.9903,0.09378
980,0.9903,0.09378
990,0.9903,0.09378
1000,0.9903,0.09378
