round,accuracy,reward
5,0.9895,-0.022676414451625087
10,0.9913,-0.010097321447484259
15,0.9919,-0.004392950252891737
20,0.9912,-0.002927433805398915
25,0.9916,-0.0013590912341488147
30,0.9912,-0.0005353615065729747
35,0.9908,-0.0002452488738651032
40,0.9908,-0.00013222949862787676
45,0.9909,-0.00011220364325256491
50,0.9908,-9.021796119305957e-05
55,0.9908,-7.718447417520492e-05
60,0.9908,-6.199318324200757e-05
65,0.9908,-5.3893017318441413e-05
70,0.9909,-4.800497664487773e-05
75,0.9909,-4.2939811733915155e-05
80,0.9909,-3.86085170728988e-05
85,0.9909,-3.5527034438394154e-05
90,0.991,-3.388842651541432e-05
95,0.991,-2.9949003305123987e-05
100,0.991,-2.7742282234332428e-05
