round,accuracy,reward
5,0.9893,0.10142999999999995
10,0.99,0.09839999999999996
15,0.9917,0.09987000000000004
20,0.9911,0.09891000000000003
25,0.9914,0.09814
30,0.9915,0.09915000000000002
35,0.992,0.09959999999999997
40,0.9912,0.09921999999999999
45,0.9916,0.09876000000000006
50,0.9914,0.09883999999999993
55,0.9915,0.09965000000000007
60,0.9914,0.09863999999999995
65,0.9911,0.09901000000000001
70,0.9911,0.09920999999999999
75,0.9911,0.09891000000000003
80,0.9913,0.09922999999999998
85,0.9911,0.09901000000000001
90,0.991,0.09890000000000003
95,0.9905,0.09885000000000004
100,0.9909,0.09909000000000001
