round,accuracy,reward
5,0.9885,-0.02190687657966182
10,0.9902,-0.010008809818134089
15,0.9906,-0.00519442079749979
20,0.9912,-0.002489297814304281
25,0.9913,-0.0007640676335932059
30,0.9915,-0.0004636932276299346
35,0.9912,-0.00020906839354055333
40,0.9911,-0.00015557980583440052
45,0.9912,-0.00011213027472060434
50,0.9911,-9.060072179056268e-05
55,0.9912,-7.621859711664188e-05
60,0.991,-6.418161734305346e-05
65,0.991,-5.609313648398146e-05
70,0.9912,-5.069559174367039e-05
75,0.9911,-4.548263910684283e-05
80,0.9911,-4.067164261415161e-05
85,0.9911,-3.707729143198788e-05
90,0.9912,-3.4022275456565334e-05
95,0.9912,-3.1302667555082704e-05
100,0.9912,-2.9135409675973024e-05
