round,accuracy,reward
5,0.9904,0.09913999999999999
10,0.992,0.09990000000000004
15,0.9919,0.09999000000000002
20,0.9902,0.09761999999999993
25,0.9916,0.09886000000000005
30,0.992,0.09939999999999999
35,0.9921,0.09970999999999995
40,0.9914,0.09933999999999998
45,0.9915,0.09865000000000007
50,0.9909,0.09879000000000004
55,0.9909,0.09909000000000001
60,0.9912,0.09851999999999995
65,0.9916,0.09916000000000001
70,0.9911,0.09891000000000003
75,0.991,0.09910000000000001
80,0.9909,0.09909000000000001
85,0.9908,0.09888000000000002
90,0.9907,0.09887000000000003
95,0.9908,0.09898000000000001
100,0.9908,0.09908
