round,accuracy,reward
5,0.6814,-0.11057126010492435
10,0.5153,-0.05778999144270221
15,0.7759,-0.02507221006746374
20,0.8302,-0.019270045236538972
25,0.9159,-0.012683182770064163
30,0.8722,-0.010314425513625164
35,0.9098,-0.011388653865799748
40,0.9388,-0.006783912820706964
45,0.9518,-0.0047093478508231385
50,0.952,-0.00449624763883434
55,0.9493,-0.003558016838038123
60,0.9482,-0.003921058879263563
65,0.9272,-0.004162824588365947
70,0.9492,-0.003592528717131553
75,0.961,-0.0025971499442664033
80,0.9584,-0.0021642967823564145
85,0.9554,-0.0019037049896607032
90,0.9593,-0.0016392876093216803
95,0.9584,-0.0024002060179150082
100,0.9665,-0.0013270414908395222
