round,accuracy,reward
5,0.5568,0.15137999999999996
10,0.7484,0.11083999999999992
15,0.7546,0.21626000000000006
20,0.6972,-0.06907999999999992
25,0.8089,0.16859000000000002
30,0.8489,0.15688999999999997
35,0.8933,0.11133000000000003
40,0.87,0.049899999999999986
45,0.8523,0.005029999999999951
50,0.7973,-0.03516999999999999
55,0.9086,0.23155999999999993
60,0.8182,-0.016679999999999917
65,0.7921,0.10871000000000008
70,0.9182,0.09622000000000008
75,0.9387,0.11146999999999996
80,0.8765,0.10144999999999993
85,0.9202,0.06942000000000005
90,0.9356,0.09905999999999995
95,0.9224,0.22753999999999996
100,0.9408,0.08317999999999998
